"","","4510","","100","","","0"
"","","1460","","40","","","0"
"","","551","","93","","","0"
"","","546","","32","","","0"
"","","635","","63","","","0"
"","","635","","7","","","0"
"","","506","","263","","","0"
"","","506","","44","","","0"
"","","197","","139","","","0"
"","","278","","137","","","0"
"","","278","","27","","","0"
"","","259","","5","","","0"
"","","646","","233","","","0"
"","","646","","375","","","0"
"","","646","","6","","","0"
"","","646","","101","","","0"
"","","2295","","210","","","0"
"","","506","","23","","","0"
"","","506","","32","","","0"
"","","506","","44","","","0"
"","","0","","66","","","0"
"","","0","","22","","","0"
"","","0","","10","","","0"
"","","0","","37","","","0"
"","","0","","140","","","0"
"","","0","","59","","","0"
"","","1490","","45","","","0"
"","","607","","0","","","0"
"","","458","","0","","","0"
"","","664","","0","","","0"
"","","3659","","0","","","0"
"","","34","","0","","","0"
"","","3746","","0","","","0"
"","","1211","","0","","","0"
"","","46","","0","","","0"
"","","46","","0","","","0"
"","","2269","","0","","","0"
"","","136","","0","","","0"
"","","306","","0","","","0"
"","","281","","0","","","0"
"","","396","","0","","","0"
"","","48","","0","","","0"
"","","550","","0","","","0"
"","","62","","0","","","0"
"","","70","","0","","","0"
"","","252","","0","","","0"
"","","62","","0","","","0"
